index,job_title,salary_$_K,location,size,founded,headquarters,company_name,sector,revenue,rating,type_of_ownership,industry
17,data_scientist,120-200,"memphis, tn",1001 to 5000 employees,1945.0,"memphis, tn",buckman,manufacturing,500M to 1B,3.5,company_private,manufacturing
18,data_analyst,120-200,"plano, tx",5001 to 10000 employees,1988.0,"tempe, az","insight enterprises, inc.",information technology,5 to 10B,4.2,company_public,enterprise_software_network_solutions 
19,others,120-200,"west grove, pa",5001 to 10000 employees,2017.0,"reading, pa",tower health,health care,unknown_non_applicable,3.5,nonprofit_organization,healthcare_and_pharmaceuticals
20,data_scientist,120-200,"new york, ny",51 to 200 employees,2015.0,"san francisco, ca",triplebyte,information technology,unknown_non_applicable,3.2,company_private,computer_hardware_software
21,data_scientist,120-200,"new york, ny",51 to 200 employees,2011.0,"new york, ny",pulsepoint,information technology,100 to 500M,4.3,company_private,internet_telephone_providers
22,others,120-200,"phoenix, az",1001 to 5000 employees,1967.0,"menlo park, ca",exponent,business services,100 to 500M,3.5,company_public,consulting
23,others,120-200,"appleton, wi",5001 to 10000 employees,1860.0,"new york, ny",guardian life,insurance,5 to 10B,3.5,company_private,insurance_agencies
24,data_scientist,120-200,"chicago, il",51 to 200 employees,1992.0,"chicago, il",spectrum communications and consulting,business services,10 to 25M,3.4,company_private,advertising_marketing
25,data_scientist,120-200,"atlanta, ga",51 to 200 employees,2003.0,"atlanta, ga",oversight systems,information technology,25 to 50M,4.7,company_private,computer_hardware_software
26,data_scientist,120-200,"orlando, fl",51 to 200 employees,1996.0,"orlando, fl",lsq,finance,100 to 500M,4.2,company_private,finance_and_banking
27,data_scientist,120-200,"lexington, ma",1001 to 5000 employees,1951.0,"lexington, ma",mit lincoln laboratory,aerospace_&_defense,unknown_non_applicable,3.8,nonprofit_organization,others
28,data_scientist,120-200,"mclean, va",51 to 200 employees,2005.0,"falls church, va",kingfisher systems,government,25 to 50M,4.5,company_private,government_public_sector
29,data_scientist,120-200,"san francisco, ca",51 to 200 employees,2015.0,"san francisco, ca",formation,information technology,unknown_non_applicable,2.8,company_private,enterprise_software_network_solutions 
30,data_scientist,75-145,"boston, ma",1001 to 5000 employees,1981.0,"boston, ma",analysis group,business services,100 to 500M,3.8,private_practice_firm,consulting
31,data_scientist,75-145,"cambridge, ma",10000+ employees,1996.0,"basel, switzerland",novartis,biotech_&_pharmaceuticals,10B+,3.9,company_public,others
32,data_scientist,75-145,"boston, ma",1 to 50 employees,2019.0,"boston, ma",cohere health,information technology,unknown_non_applicable,5.0,company_private,others
33,data_scientist,75-145,"sheboygan, wi",1001 to 5000 employees,1925.0,"sheboygan, wi",acuity insurance,insurance,1 to 2B,4.8,company_private,insurance_agencies
34,data_engineer,75-145,united states,201 to 500 employees,2008.0,"seattle, wa",chef,information technology,50 to 100M,3.6,company_private,enterprise_software_network_solutions 
35,data_scientist,75-145,"bothell, wa",1001 to 5000 employees,1999.0,"bellevue, wa",puget sound energy,"oil, gas, energy_&_utilities",2 to 5B,3.3,company_private,energy_and_utilities
36,others,75-145,"lincoln, ne",1001 to 5000 employees,1978.0,"lincoln, ne",sandhills global,information technology,50 to 100M,2.7,company_private,enterprise_software_network_solutions 
37,data_scientist,75-145,"overland park, ks",501 to 1000 employees,2000.0,"new york, ny",a place for mom,health care,unknown_non_applicable,2.7,company_private,healthcare_and_pharmaceuticals
38,data_scientist,75-145,"chantilly, va",1 to 50 employees,2000.0,"chantilly, va",great-circle technologies,information technology,1 to 5M,2.2,company_private,enterprise_software_network_solutions 
39,data_scientist,75-145,"santa monica, ca",501 to 1000 employees,1966.0,"santa monica, ca",edmunds.com,information technology,100 to 500M,3.4,company_private,internet_telephone_providers
40,data_analyst,75-145,"boston, ma",501 to 1000 employees,1973.0,"boston, ma","cambridge associates, llc",finance,100 to 500M,3.1,company_private,finance_and_banking
41,machine_learning_engineer,75-145,"portsmouth, nh",10000+ employees,1912.0,"boston, ma",liberty mutual insurance,insurance,10B+,3.4,company_private,insurance_agencies
42,data_analyst,75-145,"ewing, nj",1001 to 5000 employees,1958.0,"ewing, nj",cenlar,unknown,100 to 500M,2.6,company_private,others
43,others,75-145,"south san francisco, ca",51 to 200 employees,2019.0,"south san francisco, ca",arsenal biosciences,biotech_&_pharmaceuticals,unknown_non_applicable,5.0,company_private,others
44,data_scientist,75-145,"palo alto, ca",51 to 200 employees,2013.0,"palo alto, ca",eversight,information technology,10 to 25M,4.2,company_private,enterprise_software_network_solutions 
45,machine_learning_engineer,75-145,"cambridge, ma",10000+ employees,1849.0,"new york, ny",pfizer,biotech_&_pharmaceuticals,10B+,4.1,company_public,others
46,senior_data_scientist,75-145,"boston, ma",201 to 500 employees,2012.0,"boston, ma",klaviyo,information technology,unknown_non_applicable,4.8,company_private,computer_hardware_software
47,data_scientist,75-145,"bellevue, wa",501 to 1000 employees,2000.0,"bellevue, wa",intellectual ventures,finance,unknown_non_applicable,3.3,company_private,finance_and_banking
48,data_scientist,75-145,"san francisco, ca",1001 to 5000 employees,2016.0,"singapore, singapore",govtech,government,unknown_non_applicable,3.7,government,government_public_sector
49,data_scientist,75-145,"cambridge, ma",201 to 500 employees,1999.0,"cambridge, ma",quick base,information technology,unknown_non_applicable,4.3,company_private,enterprise_software_network_solutions 
50,data_analyst,75-145,"san francisco, ca",1 to 50 employees,2014.0,"san francisco, ca",giving assistant,business services,10 to 25M,4.8,company_private,advertising_marketing
51,data_scientist,75-145,"cambridge, ma",10000+ employees,1781.0,"osaka, japan",takeda,biotech_&_pharmaceuticals,10B+,3.7,company_public,others
52,data_scientist,75-145,"san francisco, ca",501 to 1000 employees,2012.0,"santa clara, ca",netskope,information technology,unknown_non_applicable,4.0,company_private,enterprise_software_network_solutions 
53,data_engineer,75-145,remote,51 to 200 employees,2003.0,"vienna, va",it concepts,information technology,10 to 25M,4.8,company_private,others
54,data_analyst,75-145,"new orleans, la",51 to 200 employees,1999.0,"new orleans, la",iseatz,information technology,unknown_non_applicable,3.5,company_private,enterprise_software_network_solutions 
55,data_analyst,75-145,"akron, oh",5001 to 10000 employees,1926.0,"akron, oh",summa health system,health care,100 to 500M,3.7,nonprofit_organization,healthcare_and_pharmaceuticals
56,senior_data_scientist,75-145,"saint louis, mo",201 to 500 employees,2012.0,"saint louis, mo",benson hill,biotech_&_pharmaceuticals,1 to 5M,3.5,company_private,others
57,data_scientist,75-145,"san francisco, ca",1001 to 5000 employees,2006.0,"san francisco, ca",twitter,information technology,2 to 5B,4.1,company_public,internet_telephone_providers
58,data_scientist,75-145,"san francisco, ca",1001 to 5000 employees,2011.0,"san francisco, ca",postmates - corporate hq,transportation_&_logistics,unknown_non_applicable,3.2,company_private,others
59,data_scientist,75-145,"saint louis, mo",201 to 500 employees,1994.0,"saint louis, mo",envision llc,business services,25 to 50M,4.5,company_private,staffing_outsourcing
60,data_analyst,75-145,"fort wayne, in",10000+ employees,1863.0,"zurich, switzerland",swiss re,insurance,10B+,3.8,company_public,insurance_agencies
61,machine_learning_engineer,75-145,"woburn, ma",201 to 500 employees,2010.0,"woburn, ma",systems & technology research,aerospace_&_defense,100 to 500M,4.5,company_private,others
62,data_scientist,75-145,"bedford, ma",1001 to 5000 employees,1990.0,"bedford, ma",irobot,retail,1 to 2B,3.5,company_public,others
63,data_scientist,75-145,"santa barbara, ca",51 to 200 employees,2010.0,"santa barbara, ca",hg insights,information technology,unknown_non_applicable,4.2,company_private,computer_hardware_software
64,data_analyst,75-145,"carson, ca",201 to 500 employees,1986.0,"carson, ca",dermalogica,manufacturing,100 to 500M,3.8,subsidiary_or_business_segment,manufacturing
65,data_engineer,75-145,"coral gables, fl",1001 to 5000 employees,1995.0,"coral gables, fl",bayview asset management,finance,100 to 500M,3.7,company_private,finance_and_banking
66,data_scientist,75-145,"new york, ny",501 to 1000 employees,2012.0,"new york, ny",via transportation,information technology,unknown_non_applicable,3.7,company_private,internet_telephone_providers
67,data_scientist,75-145,"santa clara, ca",1001 to 5000 employees,2006.0,"san ramon, ca",grid dynamics,information technology,50 to 100M,4.0,company_private,enterprise_software_network_solutions 
68,machine_learning_engineer,75-145,"chicago, il",501 to 1000 employees,2015.0,"chicago, il",tempus labs,biotech_&_pharmaceuticals,unknown_non_applicable,3.3,company_private,others
69,data_scientist,75-145,"brisbane, ca",1 to 50 employees,,"brisbane, ca",caredx,biotech_&_pharmaceuticals,unknown_non_applicable,2.5,company_private,others
70,data_engineer,75-145,"winter park, fl",51 to 200 employees,2006.0,"winter park, fl",izea,business services,25 to 50M,4.2,company_public,advertising_marketing
71,data_scientist,75-145,"redwood city, ca",501 to 1000 employees,2015.0,"chicago, il",tempus labs,biotech_&_pharmaceuticals,unknown_non_applicable,3.3,company_private,others
72,data_scientist,75-145,"san francisco, ca",5001 to 10000 employees,1982.0,"san rafael, ca",autodesk,information technology,2 to 5B,4.0,company_public,computer_hardware_software
73,data_analyst,75-145,"peoria, il",10000+ employees,1925.0,"deerfield, il",caterpillar,manufacturing,10B+,3.7,company_public,manufacturing
74,others,75-145,"ipswich, ma",201 to 500 employees,1974.0,"ipswich, ma",new england biolabs,biotech_&_pharmaceuticals,unknown_non_applicable,4.9,company_private,others
75,data_analyst,75-145,"carmel, in",1001 to 5000 employees,2001.0,"carmel, in",allied solutions,insurance,100 to 500M,3.4,subsidiary_or_business_segment,insurance_agencies
76,data_engineer,75-145,"new york, ny",1001 to 5000 employees,1993.0,"new york, ny",healthfirst,insurance,unknown_non_applicable,3.1,nonprofit_organization,insurance_agencies
77,data_scientist,75-145,"washington, dc",1001 to 5000 employees,2019.0,"chevy chase, md",the knot worldwide,information technology,unknown_non_applicable,3.5,company_private,internet_telephone_providers
78,data_scientist,75-145,"new york, ny",201 to 500 employees,1985.0,"hartford, ct",ifg companies,insurance,unknown_non_applicable,2.9,company_private,insurance_agencies
79,data_scientist,75-145,"emeryville, ca",201 to 500 employees,2003.0,"emeryville, ca",amyris,biotech_&_pharmaceuticals,100 to 500M,3.3,company_public,others
80,data_scientist,75-145,"gaithersburg, md",10000+ employees,1913.0,"cambridge, united kingdom",astrazeneca,biotech_&_pharmaceuticals,10B+,4.0,company_public,others
81,data_scientist,75-145,"washington, dc",51 to 200 employees,2001.0,"rockville, md",powertek,information technology,25 to 50M,3.6,company_private,others
82,data_engineer,75-145,"saint louis, mo",51 to 200 employees,1996.0,"minneapolis, mn",object partners,business services,25 to 50M,4.7,company_private,consulting
83,data_scientist,75-145,"longmont, co",1 to 50 employees,2016.0,"chicago, il",the mom project,business services,unknown_non_applicable,4.9,company_private,staffing_outsourcing
84,data_scientist,75-145,"austin, tx",51 to 200 employees,1999.0,"austin, tx",lightspeed systems,information technology,25 to 50M,4.3,company_private,computer_hardware_software
85,data_science_analytics_leadership,75-145,"san francisco, ca",1001 to 5000 employees,2010.0,"san francisco, ca",stripe,information technology,unknown_non_applicable,4.0,company_private,internet_telephone_providers
86,data_analyst,75-145,"yakima, wa",501 to 1000 employees,1971.0,"yakima, wa",comprehensive healthcare,health care,unknown_non_applicable,2.6,nonprofit_organization,healthcare_and_pharmaceuticals
87,data_scientist,75-145,"santa cruz, ca",51 to 200 employees,2003.0,"santa cruz, ca","fullpower technologies, inc.",information technology,10 to 25M,4.5,company_private,computer_hardware_software
88,machine_learning_engineer,75-145,"boston, ma",201 to 500 employees,2012.0,"boston, ma",klaviyo,information technology,unknown_non_applicable,4.8,company_private,computer_hardware_software
89,data_scientist,75-145,united states,10000+ employees,1911.0,"mc lean, va",mars,manufacturing,10B+,3.9,company_private,manufacturing
90,data_scientist,75-145,"gaithersburg, md",10000+ employees,1913.0,"cambridge, united kingdom",astrazeneca,biotech_&_pharmaceuticals,10B+,4.0,company_public,others
91,machine_learning_engineer,75-145,"springfield, va",51 to 200 employees,1999.0,"mc lean, va",nuwave solutions,information technology,5 to 10M,4.4,company_private,others
92,senior_data_scientist,75-145,"alexandria, va",5001 to 10000 employees,1968.0,"herndon, va",mantech,business services,1 to 2B,4.2,company_public,others
93,data_scientist,75-145,utah,201 to 500 employees,1997.0,"south jordan, ut",merrick bank,finance,unknown_non_applicable,3.6,company_private,finance_and_banking
94,data_scientist,75-145,"washington, dc",1001 to 5000 employees,1986.0,"princeton, nj",mathematica policy research,business services,100 to 500M,3.4,company_private,consulting
95,data_scientist,75-145,"san diego, ca",5001 to 10000 employees,1983.0,"mountain view, ca",intuit - data,information technology,2 to 5B,4.4,company_public,computer_hardware_software
96,data_analyst,75-145,"reston, va",51 to 200 employees,2015.0,"reston, va",qomplx,information technology,10 to 25M,3.5,company_private,enterprise_software_network_solutions 
97,data_scientist,75-145,"new york, ny",10000+ employees,1911.0,"mc lean, va",mars,manufacturing,10B+,3.9,company_private,manufacturing
98,senior_data_scientist,75-145,"denver, co",51 to 200 employees,2009.0,"denver, co",gutcheck,business services,10 to 25M,3.8,company_private,advertising_marketing
99,data_scientist,75-145,"washington, dc",1001 to 5000 employees,1959.0,"washington, dc",inter-american development bank,finance,10B+,3.5,other_organization,finance_and_banking
100,data_scientist,75-145,new jersey,1 to 50 employees,2013.0,"holmdel, nj",avlino,information technology,less than 1M,4.9,company_private,enterprise_software_network_solutions 
101,machine_learning_engineer,75-145,"aurora, co",1 to 50 employees,2007.0,"aurora, co",stratagem group,aerospace_&_defense,unknown_non_applicable,4.4,company_private,others
102,data_scientist,75-145,"santa barbara, ca",51 to 200 employees,2012.0,"san mateo, ca",evidation,information technology,unknown_non_applicable,4.1,company_private,internet_telephone_providers
103,senior_data_scientist,75-145,"san francisco, ca",5001 to 10000 employees,1982.0,"san rafael, ca",autodesk,information technology,2 to 5B,4.0,company_public,computer_hardware_software
104,data_scientist,75-145,"san diego, ca",5001 to 10000 employees,1983.0,"mountain view, ca",intuit - data,information technology,2 to 5B,4.4,company_public,computer_hardware_software
105,data_scientist,75-145,"hill afb, ut",501 to 1000 employees,1973.0,"goleta, ca",tecolote research,aerospace_&_defense,50 to 100M,3.8,company_private,others
106,data_engineer,75-145,"chandler, az",501 to 1000 employees,1981.0,"franklin, tn",tivity health,health care,unknown_non_applicable,3.2,company_public,healthcare_and_pharmaceuticals
107,data_engineer,75-145,"indianapolis, in",51 to 200 employees,2011.0,"indianapolis, in",hc1,biotech_&_pharmaceuticals,10 to 25M,2.9,company_private,others
108,data_scientist,75-145,"san diego, ca",10000+ employees,1939.0,"palo alto, ca",hp inc.,information technology,unknown_non_applicable,4.1,company_public,computer_hardware_software
109,data_scientist,75-145,"chantilly, va",10000+ employees,2013.0,"reston, va",saic,information technology,5 to 10M,3.7,company_public,enterprise_software_network_solutions 
110,data_analyst,75-145,"nashville, tn",1001 to 5000 employees,1967.0,"new york, ny",alliancebernstein,finance,2 to 5B,3.2,company_public,finance_and_banking
111,data_analyst,75-145,"timonium, md",51 to 200 employees,2013.0,"lutherville timonium, md",big huge games,media,unknown_non_applicable,4.9,subsidiary_or_business_segment,computer_hardware_software
112,data_scientist,75-145,"herndon, va",5001 to 10000 employees,,"westminster, co",maxar technologies,aerospace_&_defense,2 to 5B,3.5,company_public,others
113,data_engineer,75-145,"burlingame, ca",1 to 50 employees,2016.0,"burlingame, ca",phantom ai,information technology,unknown_non_applicable,5.0,company_private,computer_hardware_software
114,data_scientist,75-145,"reston, va",1001 to 5000 employees,1996.0,"reston, va",noblis,business services,100 to 500M,4.0,nonprofit_organization,consulting
115,data_scientist,75-145,"new york, ny",1 to 50 employees,2016.0,"new york, ny",spring health,health care,unknown_non_applicable,3.6,company_private,healthcare_and_pharmaceuticals
116,others,75-145,"annapolis junction, md",51 to 200 employees,2002.0,"annapolis junction, md",clearedge,information technology,5 to 10M,4.0,company_private,computer_hardware_software
117,data_analyst,75-145,"nashville, tn",1001 to 5000 employees,1967.0,"new york, ny",alliancebernstein,finance,2 to 5B,3.2,company_public,finance_and_banking
118,others,75-145,"south san francisco, ca",51 to 200 employees,2019.0,"south san francisco, ca",arsenal biosciences,biotech_&_pharmaceuticals,unknown_non_applicable,5.0,company_private,others
119,data_engineer,75-145,"bethesda, md",201 to 500 employees,2000.0,"bethesda, md",getwellnetwork,health care,50 to 100M,4.8,company_private,healthcare_and_pharmaceuticals
120,data_scientist,75-145,"dayton, oh",51 to 200 employees,2006.0,"beavercreek, oh",tacg solutions,business services,unknown_non_applicable,4.5,company_private,consulting
121,senior_data_scientist,75-145,"san francisco, ca",51 to 200 employees,2015.0,"san francisco, ca",scoop,information technology,unknown_non_applicable,4.7,company_private,internet_telephone_providers
122,senior_data_scientist,75-145,"herndon, va",501 to 1000 employees,2012.0,"mc lean, va",novetta,information technology,100 to 500M,4.5,company_private,enterprise_software_network_solutions 
123,data_engineer,75-145,"winter park, fl",51 to 200 employees,2006.0,"winter park, fl",izea,business services,25 to 50M,4.2,company_public,advertising_marketing
124,others,75-145,"schaumburg, il",51 to 200 employees,2006.0,"schaumburg, il",montway inc,transportation_&_logistics,unknown_non_applicable,3.4,company_private,transportation_logistics
125,data_scientist,75-145,"cupertino, ca",5001 to 10000 employees,1996.0,"sunnyvale, ca",juniper networks,telecommunications,2 to 5B,3.8,company_public,telecommunications_services
126,data_scientist,75-145,"saint louis, mo",51 to 200 employees,2016.0,"saint louis, mo",1904labs,information technology,unknown_non_applicable,4.7,company_private,others
127,data_scientist,75-145,"chicago, il",51 to 200 employees,2014.0,"chicago, il",xsell technologies,information technology,unknown_non_applicable,3.6,company_private,enterprise_software_network_solutions 
128,data_engineer,75-145,"winter park, fl",51 to 200 employees,2006.0,"winter park, fl",izea,business services,25 to 50M,4.2,company_public,advertising_marketing
129,data_scientist,75-145,"cupertino, ca",5001 to 10000 employees,1996.0,"sunnyvale, ca",juniper networks,telecommunications,2 to 5B,3.8,company_public,telecommunications_services
130,data_scientist,75-145,"san francisco, ca",1 to 50 employees,2016.0,"san francisco, ca",notion labs,information technology,unknown_non_applicable,5.0,company_private,enterprise_software_network_solutions 
131,senior_data_scientist,75-145,"lehi, ut",201 to 500 employees,2011.0,"lehi, ut",lendio,finance,50 to 100M,4.9,company_private,others
132,data_engineer,75-145,"culver city, ca",51 to 200 employees,2003.0,"new york, ny",direct agents,business services,25 to 50M,4.4,company_private,advertising_marketing
133,data_scientist,75-145,"lake oswego, or",1001 to 5000 employees,2012.0,"lake oswego, or",navex global,information technology,100 to 500M,3.3,company_private,computer_hardware_software
134,machine_learning_engineer,75-145,remote,51 to 200 employees,2015.0,"san francisco, ca",triplebyte,information technology,unknown_non_applicable,3.2,company_private,computer_hardware_software
135,machine_learning_engineer,75-145,remote,51 to 200 employees,2015.0,"san francisco, ca",triplebyte,information technology,unknown_non_applicable,3.2,company_private,computer_hardware_software
136,senior_data_scientist,75-145,"lehi, ut",201 to 500 employees,2011.0,"lehi, ut",lendio,finance,50 to 100M,4.9,company_private,others
137,data_scientist,75-145,"san mateo, ca",201 to 500 employees,2012.0,"san mateo, ca",upstart,finance,unknown_non_applicable,4.2,company_private,others
138,data_analyst,75-145,"san francisco, ca",201 to 500 employees,1994.0,"saint louis, mo",envision llc,business services,25 to 50M,4.5,company_private,staffing_outsourcing
139,data_engineer,75-145,"palo alto, ca",201 to 500 employees,2012.0,"palo alto, ca",applovin,media,unknown_non_applicable,4.8,company_private,computer_hardware_software
140,others,75-145,"holyoke, ma",501 to 1000 employees,1997.0,"holyoke, ma",iso new england,"oil, gas, energy_&_utilities",unknown_non_applicable,3.8,nonprofit_organization,energy_and_utilities
141,data_engineer,75-145,"chicago, il",1001 to 5000 employees,2001.0,"chicago, il",relativity,information technology,unknown_non_applicable,3.7,company_private,enterprise_software_network_solutions 
142,senior_data_scientist,75-145,"san francisco, ca",51 to 200 employees,2013.0,"san francisco, ca",tempo automation,manufacturing,5 to 10M,3.3,company_private,manufacturing
143,data_scientist,75-145,"mclean, va",5001 to 10000 employees,1958.0,"bedford, ma",mitre,government,1 to 2B,3.3,nonprofit_organization,government_public_sector
144,machine_learning_engineer,75-145,"herndon, va",1 to 50 employees,2013.0,"dulles, va","expedition technology, inc.",aerospace_&_defense,10 to 25M,5.0,company_private,others
145,others,75-145,"bethesda, md",501 to 1000 employees,2013.0,"bethesda, md",evidera,biotech_&_pharmaceuticals,100 to 500M,3.8,subsidiary_or_business_segment,others
146,data_scientist,75-145,"woodbridge, nj",1001 to 5000 employees,1982.0,"boston, ma",plymouth rock assurance,insurance,10 to 25M,3.4,company_private,insurance_agencies
147,others,75-145,"san diego, ca",501 to 1000 employees,2006.0,"san diego, ca",crown bioscience,biotech_&_pharmaceuticals,50 to 100M,2.4,company_private,others
148,data_scientist,75-145,"cambridge, ma",51 to 200 employees,2000.0,"cambridge, ma",gns healthcare,biotech_&_pharmaceuticals,10 to 25M,2.9,company_private,others
149,data_science_analytics_leadership,75-145,"dearborn, mi",201 to 500 employees,1967.0,"detroit, mi",onemagnify,business services,unknown_non_applicable,4.4,company_private,advertising_marketing
150,data_scientist,75-145,"maryland heights, mo",10000+ employees,2016.0,"stamford, ct",spectrum,telecommunications,10B+,2.9,subsidiary_or_business_segment,internet_telephone_providers
151,others,75-145,"rockville, md",201 to 500 employees,1961.0,"rockville, md",advanced bioscience laboratories,biotech_&_pharmaceuticals,50 to 100M,2.7,company_private,others
152,data_engineer,75-145,"carpinteria, ca",1001 to 5000 employees,2002.0,"carpinteria, ca",procore technologies,information technology,unknown_non_applicable,4.2,company_private,computer_hardware_software
153,others,75-145,"columbia, sc",201 to 500 employees,1995.0,"columbia, sc",ritedose,biotech_&_pharmaceuticals,100 to 500M,3.5,company_private,others
154,others,75-145,"hauppauge, ny",unknown,,nan,covid-19 search partners,unknown,unknown_non_applicable,,unknown,others
155,data_scientist,75-145,"saint louis, mo",10000+ employees,1963.0,"marcy-l'etoile, france",biomérieux,biotech_&_pharmaceuticals,2 to 5B,4.2,company_private,others
156,data_scientist,90-170,"herndon, va",501 to 1000 employees,2012.0,"mc lean, va",novetta,information technology,100 to 500M,4.5,company_private,enterprise_software_network_solutions 
157,data_scientist,90-170,"washington, dc",1 to 50 employees,1997.0,"mays landing, nj",guzman & griffin technologies (ggti),government,unknown_non_applicable,4.4,company_private,government_public_sector
158,machine_learning_engineer,90-170,"reston, va",unknown,,nan,radical convergence,unknown,unknown_non_applicable,,unknown,others
159,data_scientist,90-170,"fort meade, md",10000+ employees,1969.0,"reston, va",leidos,aerospace_&_defense,10B+,3.5,company_public,others
160,data_scientist,90-170,"san francisco, ca",201 to 500 employees,2006.0,"san francisco, ca",demandbase,information technology,100 to 500M,4.5,company_private,computer_hardware_software
161,data_analyst,90-170,"columbia, mo",1001 to 5000 employees,1946.0,"columbia, mo",shelter insurance,insurance,1 to 2B,4.1,company_private,insurance_agencies
162,data_scientist,90-170,"chantilly, va",5001 to 10000 employees,,"westminster, co",maxar technologies,aerospace_&_defense,2 to 5B,3.5,company_public,others
163,data_analyst,90-170,"washington, dc",501 to 1000 employees,1997.0,"washington, dc",usac,telecommunications,25 to 50M,2.7,nonprofit_organization,telecommunications_services
164,computational_scientist,90-170,"vicksburg, ms",10000+ employees,1996.0,"fairfax, va",general dynamics information technology,information technology,10B+,3.4,subsidiary_or_business_segment,others
165,data_scientist,90-170,"chandler, az",201 to 500 employees,2015.0,"chandler, az",offerpad,real estate,unknown_non_applicable,4.4,company_private,real_estate_construction
166,senior_data_scientist,90-170,"san francisco, ca",5001 to 10000 employees,1982.0,"san rafael, ca",autodesk,information technology,2 to 5B,4.0,company_public,computer_hardware_software
167,senior_data_scientist,90-170,"san francisco, ca",5001 to 10000 employees,1968.0,"herndon, va",autodesk,business services,1 to 2B,4.2,company_public,others
168,data_engineer,90-170,"birmingham, al",10000+ employees,1957.0,"aurora, canada",magna international inc.,unknown,10B+,3.5,company_public,others
169,data_analyst,90-170,"blue bell, pa",1001 to 5000 employees,2003.0,"blue bell, pa",united biosource,biotech_&_pharmaceuticals,100 to 500M,2.3,other_organization,others
170,data_scientist,90-170,"chicago, il",5001 to 10000 employees,1946.0,"troy, mi",kelly,business services,5 to 10B,3.4,company_public,staffing_outsourcing
171,machine_learning_engineer,90-170,"redwood city, ca",501 to 1000 employees,2015.0,"chicago, il",tempus labs,biotech_&_pharmaceuticals,unknown_non_applicable,3.3,company_private,others
172,data_scientist,90-170,"redwood city, ca",201 to 500 employees,2009.0,"redwood city, ca",c3.ai,information technology,100 to 500M,4.7,company_private,enterprise_software_network_solutions 
173,senior_data_scientist,90-170,"new york, ny",201 to 500 employees,2014.0,"new york, ny",quartet health,information technology,unknown_non_applicable,3.9,company_private,enterprise_software_network_solutions 
174,data_analyst,90-170,"san diego, ca",1001 to 5000 employees,1953.0,"san diego, ca",midland credit management,finance,1 to 2B,3.3,subsidiary_or_business_segment,finance_and_banking
175,senior_data_scientist,90-170,"chicago, il",501 to 1000 employees,2015.0,"chicago, il",tempus labs,biotech_&_pharmaceuticals,unknown_non_applicable,3.3,company_private,others
176,data_engineer,90-170,"cincinnati, oh",201 to 500 employees,1998.0,"greenville, sc",resurgent capital services,finance,50 to 100M,4.4,company_private,finance_and_banking
